FMID,street,city,County,State,zip,x,y
1004382,1832 Massachusetts Street,Lawrence,Douglas,Kansas,66044,-95.2352,38.95063
1004383,Main Street & Maple Avenue,Altamont,Albany,New York,12009,-74.0325,42.7013
1004384,South Steele Street and Adams Street,Ionia,Ionia,Michigan,48846,-85.0677261,42.9814841
1004385,Rt. 33 and Rt. 526  Town Center Parking Lot,Robbinsville,Mercer,New Jersey,8691,-74.625535,40.217733
1004386,Bethel Band Shell Common,Bethel,Windsor,Vermont,5089,-72.6461,43.8444
1004387,Canalview Park & Shop Parking Lot,Fulton,Oswego,New York,13069,-76.416521,43.322899
1004392,"Broadway Bowl, Rt 4, Across from McDonalds",Gansevoort,Washington,New York,12831,-73.6772,43.2029
1004395,1329 SOMMERS AVE,PROSSER,Benton,Washington,99350,-119.7653,46.20446
1004396,5 High Street,Monson,Hampden,Massachusetts,1057,-72.320326,42.103532
1004398,American Legion Post #276,South Shore,Greenup,Kentucky,41175,-82.9142,38.7311
1004399,48900 Pontiac Trail,Wixom,Oakland,Michigan,48393,-83.5321,42.5246
1004400,13th and Ave E (Veteren Memorial Drive),Hawarden,Sioux,Iowa,51023,-96.488,43.0008
1004401,125 East Laurel Ave.,Foley,Baldwin,Alabama,36535,-87.683301,30.407081
1004402,330 N. Hubbard Lane,Louisville,Jefferson,Kentucky,40207,-85.6454,38.2512
1004403,0,berryville,Carroll,Arkansas,72616,-93.567287,36.364472
1004404,Harrison Grange Park in Harrison,Harrison,Benewah,Idaho,83833,-116.785,47.4587
1004406,1st & Main St.,Medicine Lodge,Barber,Kansas,67104,-98.5793149,37.281811
1004408,Intersection of Detroit and Genessee Streets,Otter Lake,Lapeer,Michigan,48464,-83.4582,43.2138
1004409,"Parking lot of, Del Norte Fairgrounds parking lot",Crescent City,Del Norte,California,95531,-124.147,41.8548
1004412,611 Ridgedale Ave.,E.Hanover,Morris,New Jersey,7936,-74.3469,40.8331
1004413,West First Street,Oswego,Oswego,New York,13126,-76.509604,43.45457
1004417,Linden Avenue,Harrodsburg,Mercer,Kentucky,40330,-84.847281,37.75425
1004419,Main St (Rt. 27),Kingfield,Franklin,Maine,4947,-70.2238,45.0462
1004420,Adrian Street,Manchester,Washtenaw,Michigan,48158,-84.0333,42.1568
1004421,Idaho School for Deaf & Blind parking lot,Gooding,Gooding,Idaho,83330,-114.755,42.8653
1004422,301 County Road 19,Excelsior,Hennepin,Minnesota,55331,-93.570583,44.90111
1004425,Corner of W. Broad Ave. & N. Jackson St.,Albany,Dougherty,Georgia,31702,-84.15366,31.57684
1004426,Church St. & Quarry St.,Manassas,Prince William,Virginia,20110,-77.4765,38.7528
1004428,Main Street,Northfield,Franklin,Massachusetts,1360,-72.450929,42.70338
1004429,1302 F Street,Lincoln,Lancaster,Nebraska,68508,-96.7021989,40.805074
1004430,7650 Town Square Way,Reno,Washoe,Nevada,89509,-119.913,39.5322
1004434,500 N Park Ave,Waterloo,Jefferson,Wisconsin,53594,-88.984601,43.190401
1004441,PO Box 1011,Tappahannock,Essex,Virginia,22560,-76.8591301,37.9254135
1004443,1409 Old Lake Park Road,Valdosta,Lowndes,Georgia,31602,-83.2004,30.7396
1004444,Sioux Avenue / Coteau Street,Pierre ,Hughes,South Dakota,57501,-100.352653,44.365983
1004447,203 E. Washington Street,Stockton,San Joaquin,California,95202,-121.287228,37.950864
1004448,0,Stockton,San Joaquin,California,95219,-121.374,38.0571
1004450,2581 Monument Avenue,Richmond,0,Virginia,23220,-77.4687,37.5588
1004456,"Kailua Town Center, 609  Kailua Road",Kailua,Honolulu,Hawaii,96734,-157.742,21.3941
1004458,Market Street side of Courthouse,Benton,Saline,Arkansas,72018,-92.5884,34.5612
1004461,N. Interstate Ave & N. Lombard St.,Portland,Multnomah,Oregon,97217,-122.683,45.5774
1004462,rte 434,Vestal,Broome,New York,13850,-76.0464,42.0876
1004463,24 Maple Road,Chelmsford,Middlesex,Massachusetts,1824,-71.38058611,42.57131667
1004464,400 South Vine Street,Urbana,Champaign,Illinois,61801,-88.2054,40.1096
1004465,Corner of Sequim Ave and Washington St.,Sequim,Clallam,Washington,98382,-123.1023323,48.0796314
1004468,corner of Front & Main Street,Niles,Berrien,Michigan,49120,-86.2588,41.8302
1004469,County Courthouse Square,Mt. Ida,Montgomery,Arkansas,71957,-93.5781,34.5376
1004470,109 Spruce Street,Framington,Dakota,Minnesota,55024,-93.1478,44.6383
1004475,205 N. 1st St,Easley,Pickens,South Carolina,29640,-82.605,34.8303
1004476,8125 Honeygo Blvd.,Nottingham,Baltimore,Maryland,21236,-76.467698,39.370452
1004478,Essex Street @ Town Hall,Millburn,Essex,New Jersey,7041,-74.3109,40.7237
1004480,83rd Street,Bristol,Kenosha,Wisconsin,53104,-88.0431,42.5576
1004481,"Morris Firehouse, West Main St.",Morris,Otsego,New York,13808,-75.2444,42.5489
1004482,City Park,Camanche,Clinton,Iowa,52730,-90.275,41.7939
1004484,119 West Main Street,Dudley,Worcester,Massachusetts,1571,-71.9011877,42.0441124
1004485,1101 Central Ave,Dubuque,Dubuque,Iowa,52001,-90.6666256,42.5039834
1004486,#1 Paul Parks Drive,St. Clair,Franklin,Missouri,63077,-90.987401,38.348942
1004487,New Town Plaza,Sebastopol,Sonoma,California,95472,-122.842,38.3961
1004489, MSU Extension Bldg. parking lot,Stephenson,Menominee,Michigan,49887,-87.6195,45.4208
1004491,L & N Train Station,Clarksville,Montgomery,Tennessee,37043,-87.2665,36.5145
1004492,smith park-Canton Ave & Parkway Drive,montevideo,Chippewa,Minnesota,56265,-95.7271,44.94776
1004494,141 N. River Rd,Mount Clemens,Macomb,Michigan,48043,-82.868009,42.598421
1004495,9 PARK ST.,HEADLAND,HENRY,Alabama,36345,-85.3418,31.3522
1004496,"17 W. Main St, next to Incurable Romantic",Searsburg,Windham,Vermont,5363,-72.9633,42.8894
1004499,397 Boston Post Road,Wayland,Middlesex,Massachusetts,1778,-71.369613,42.363095
1004500,Central Park-downtown Richland on the Square,Richland,Keokuk,Iowa,52585,-91.8856,41.1782
1004502,Elkhorn Town Square,Elkhorn,Walworth,Wisconsin,53121,-88.5412,42.6719
1004505,4095 South Ave. W,Missoula,Missoula,Montana,59804,-114.081,46.8487
1004509,9801 Centerway Road,Montgomery Village,Montgomery,Maryland,20886,-77.2015,39.1726
1004512,North 3rd and Mesquite,Abilene,Taylor,Texas,79601,-99.7303,32.4513
1004515,510 W. Ottawa St.,Lansing,Ingham,Michigan,48933,-84.559858,42.73477
