FMID,city,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP
1006306,Colorado Springs,Colorado,80906,-104.8336186,38.7946126,Y,N,N,N,N
1003148,Colorado Springs,Colorado,80918,-104.817274,38.906163,Y,N,N,N,Y
1000210,Colorado Springs,Colorado,80919,-104.814688,38.937716,Y,N,N,N,Y
1006305,Colorado Springs,Colorado,80920,-104.840856,38.824673,Y,N,N,N,N
1003146,Colorado Springs,Colorado,80922,-104.718913,38.880639,Y,N,N,N,Y
1000015,Pueblo,Colorado,81003,-104.613,38.2651,N,N,N,N,N
1002373,Gardner,Colorado,81040,-105.1655542,37.7833397,Y,N,N,N,Y
1005570,Las Animas,Colorado,81054,-103.236294,38.064801,N,N,N,N,N
1012217,Trinidad,Colorado,81082,-104.5047614,37.1656945,Y,N,N,N,Y
1018952,Walsenburg,Colorado,81089,-104.831846,37.600391,Y,N,N,N,Y
1010157,Walsenburg ,Colorado,81089,-104.7808998,37.6236904,N,N,N,N,Y
1004070,Alamosa,Colorado,81101,-105.865236,37.468359,Y,N,Y,Y,Y
1016880,Bayfield,Colorado,81122,-107.602898,37.225579,Y,N,N,N,Y
1009284,Bayfield ,Colorado,81122,-107.342,37.223,Y,N,N,N,N
1019303,Creede,Colorado,81130,-106.926949,37.852344,Y,N,N,N,N
1012779,Monte Vista ,Colorado,81144,-106.145805,37.58014,Y,N,Y,N,Y
1008981,Pagosa Springs,Colorado,81147,-107.050777,37.269455,Y,N,N,N,Y
1018384,South Fork,Colorado,81154,-106.6429513,37.6690308,Y,N,N,N,Y
1006847,Salida,Colorado,81201,-105.99412,38.532657,Y,N,N,N,Y
1006846,Buena Vista,Colorado,81211,-106.129207,38.842674,Y,N,N,N,Y
1018360,Canon City,Colorado,81212,-105.43965,38.4729666,Y,N,N,N,Y
1009282,Cotopaxi,Colorado,81223,-105.682,38.3728,Y,N,N,N,N
1005035,Crested Butte,Colorado,81224,-106.9874825,38.869755,Y,N,N,N,N
1003116,Florence,Colorado,81226,-105.116544,38.392481,Y,N,N,N,N
1001675,Gunnison,Colorado,81230,-106.9264,38.54562,N,N,N,N,Y
1019117,Wescliffe,Colorado,81252,-105.466481,38.136195,Y,N,N,N,N
1005078,Westcliffe,Colorado,81252,-105.4670275,38.136054,Y,N,N,N,N
1018953,Durango,Colorado,81301,-107.882758,37.273063,Y,N,N,N,Y
1008959,Cortez,Colorado,81321,-108.587634,37.348444,Y,N,N,N,Y
